iter	RMSE
167	0.378960645
168	0.3784495728
169	0.3780324297
170	0.3775449264
171	0.3770579535
172	0.3766427611
173	0.3761209869
174	0.3756337544
175	0.3752689812
176	0.3747763896
177	0.3743410281
178	0.3738090325
179	0.3733704829
180	0.372749215
181	0.3719955439
182	0.3714095155
183	0.37093713
184	0.37036406
185	0.3700831146
186	0.3695512617
187	0.3691008143
188	0.3688100239
189	0.3685728139
190	0.3682916947
191	0.3678069119
192	0.3674815302
193	0.3665638163
194	0.3656982097
195	0.3653644899
196	0.3649489745
197	0.3645590014
198	0.3641655641
199	0.3639195541
200	0.3630138884
201	0.3625807076
202	0.3620802608
203	0.361691331
204	0.3611743323
205	0.360413353
206	0.3598536022
207	0.3594625129
208	0.3591958531
209	0.3588830134
210	0.3583695534
211	0.358145251
212	0.3577751998
213	0.3572698681
214	0.3569682358
215	0.356740338
216	0.3563613598
217	0.3560491109
218	0.3553178036
219	0.3549645706
220	0.3543365534
221	0.3538777343
222	0.3533476765
223	0.3527294415
224	0.3522923062
225	0.3519032708
226	0.3514265088
227	0.350874396
228	0.3503443532
229	0.3500196295
230	0.3496311108
231	0.3492166317
232	0.3489147186
233	0.3484377903
234	0.348220393
235	0.3476134984
236	0.3472741584
237	0.3468950783
238	0.3465761609
239	0.3464126819
240	0.3461512014
241	0.3457074651
242	0.3452338027
243	0.3449924052
244	0.3445822454
245	0.3442633279
246	0.3438873662
247	0.3433893709
248	0.342879556
249	0.3425824581
250	0.3421167999
251	0.3418184546
252	0.3414936246
253	0.341242134
254	0.3409121195
255	0.3406158448
256	0.3404122319
257	0.3398926144
258	0.3396720663
259	0.3394048896
260	0.3390238549
261	0.3387257032
262	0.3384355495
263	0.3379851463
264	0.3376307079
265	0.337128809
266	0.3367239296
267	0.3362715186
268	0.3359793297
269	0.3356876047
270	0.3353299494
271	0.3349602895
272	0.3346132548
273	0.3340154502
274	0.3337736259
275	0.3334710062
276	0.3332030658
277	0.3328936444
278	0.3326621337
279	0.3323569959
280	0.3320209587
281	0.3317340025
282	0.3314844209
283	0.3312967386
284	0.3309723991
285	0.3305587033
286	0.32991711
287	0.3296831121
288	0.329479438
289	0.3291043764
290	0.3289088787
291	0.3286411321
292	0.3284006404
293	0.3280990212
294	0.3276112679
295	0.3273306996
296	0.327020645
297	0.3268592105
298	0.3266558838
299	0.3263964818
300	0.3262564404
301	0.3260774658
302	0.3257495989
303	0.3255508849
304	0.3252288689
305	0.3249871083
306	0.3246944779
307	0.3245346183
308	0.3240807379
309	0.3237885605
310	0.3235171511
311	0.3232770677
312	0.3231048653
313	0.3226987864
314	0.3225261952
315	0.3223109338
316	0.3219554191
317	0.3216380046
318	0.3212686521
319	0.3210022395
320	0.320807557
321	0.320591744
322	0.3203847006
323	0.3201317958
324	0.3199316235
325	0.3197276544
326	0.3194399108
327	0.3193205804
328	0.3190309182
329	0.318703053
330	0.3184425473
331	0.3181948805
332	0.3179599784
333	0.3178500396
334	0.3176649934
335	0.3171576914
336	0.3170657191
337	0.3168335497
338	0.3164594229
339	0.3161397009
340	0.3158685942
341	0.3155827286
342	0.3153603077
343	0.3151827824
344	0.3149744296
345	0.3147802863
346	0.3145791437
347	0.3142403852
348	0.3140623881
349	0.313842778
350	0.3134846748
351	0.3131320342
352	0.3128956658
353	0.3126754473
354	0.312446139
355	0.3119151273
356	0.3116192504
357	0.3113274479
358	0.3110644794
359	0.3108316732
360	0.310513859
361	0.3103215227
362	0.3099381461
363	0.3096468886
364	0.3093183077
365	0.3091220369
366	0.3088802405
367	0.3086011249
368	0.308390839
369	0.3079044769
370	0.3076681243
371	0.3074450662
372	0.3071608095
373	0.3069231535
374	0.3066098823
375	0.3065227506
376	0.3063101762
377	0.3060374488
378	0.3055905054
379	0.3052922335
380	0.3050332302
381	0.3048578694
382	0.3045257779
383	0.304356027
384	0.304122826
385	0.3038670569
386	0.3035450842
387	0.3033548163
388	0.303097142
389	0.3026109062
390	0.3023075629
391	0.301915348
392	0.3017077251
393	0.3014006469
394	0.3012050506
395	0.3010195386
396	0.3008146917
397	0.3006279891
398	0.300383714
399	0.300213507
400	0.3000665043
401	0.2999401802
402	0.2996140761
403	0.2993008132
404	0.2991580678
405	0.2989952058
406	0.2986084243
407	0.2984494964
408	0.2981519611
409	0.2979104578
410	0.2977724933
411	0.2975054323
412	0.2972594158
413	0.2971463353
414	0.2968563737
415	0.2966092141
416	0.2964529388
417	0.2962630069
418	0.2959340687
419	0.2956911846
420	0.2953498159
421	0.2951348498
422	0.2949534497
423	0.2947265535
424	0.2943794824
425	0.2941647416
426	0.2940258356
427	0.293822104
428	0.2935596458
429	0.2933762703
430	0.2932132728
431	0.2930736809
432	0.2929407648
433	0.2926628641
434	0.2924580296
435	0.292290995
436	0.2921133349
437	0.2918485699
438	0.2915953264
439	0.2914549398
440	0.2912805671
441	0.2910366842
442	0.2908888996
443	0.2907060632
444	0.2905216444
445	0.2901086481
446	0.2898147399
447	0.289639276
448	0.2894855968
449	0.28924364
450	0.2890413518
451	0.2888152098
452	0.2886045509
453	0.2884770681
454	0.2882075317
455	0.287948004
456	0.2874688324
457	0.2872523781
458	0.2870816841
459	0.286744755
460	0.2864638387
461	0.286400187
462	0.2862006234
463	0.2860835009
464	0.2858484152
465	0.2856531314
466	0.2854818639
467	0.2851774196
468	0.2849732735
469	0.2847809432
470	0.2845845272
471	0.2843834973
472	0.2841636173
473	0.2839941582
474	0.2837724221
475	0.283564057
476	0.2833584505
477	0.2831910594
478	0.2829453862
479	0.2827424784
480	0.2824807068
481	0.2822610752
482	0.2821195886
483	0.2819351103
484	0.2817615534
485	0.2815813994
486	0.2814330881
487	0.2813226617
488	0.281118627
489	0.2808880517
490	0.2807150478
491	0.2805422966
492	0.280288286
493	0.2799953776
494	0.279806056
495	0.2796531678
496	0.2794948125
497	0.2792534484
498	0.2791258581
499	0.2789871415
500	0.2787572114
501	0.2786432361
502	0.2783990286
503	0.2782894127
504	0.2780014397
505	0.2778490325
506	0.2776571546
507	0.2775775269
508	0.2773708533
509	0.2771796145
510	0.2769286979
511	0.2768157544
512	0.276689844
513	0.2765311575
514	0.2763878741
515	0.2761994774
516	0.2758575366
517	0.2757059807
518	0.2755273388
519	0.2752758146
520	0.2751217737
521	0.2748749492
522	0.2746590232
523	0.2745069436
524	0.2743753632
525	0.2741342054
526	0.2739875557
527	0.2738844291
528	0.2736776364
529	0.2735548219
530	0.2734497687
531	0.2733105518
532	0.2731410954
533	0.2730694157
534	0.2727925281
535	0.2725647344
536	0.2724436103
537	0.2723497521
538	0.2720694332
539	0.2718338207
540	0.2716672534
541	0.2714532133
542	0.2712796627
543	0.270879801
544	0.2706859263
545	0.2705659505
546	0.2704265953
547	0.270192048
548	0.2700205667
549	0.2698570909
550	0.2696946733
551	0.2695043115
552	0.2693436707
553	0.2691039355
554	0.2690273469
555	0.2688822421
556	0.2686718349
557	0.2685066318
558	0.2683606925
559	0.2681076333
560	0.2679550022
561	0.2678212377
562	0.267601407
563	0.2673112824
564	0.2671931931
565	0.2670602801
566	0.2667760017
567	0.2666403063
568	0.2665682484
569	0.2663429072
570	0.2661614186
571	0.2660724976
572	0.2659261
573	0.2656474072
574	0.2655267565
575	0.2653787093
576	0.2653109248
577	0.2651253753
578	0.2649078893
579	0.2647590194
580	0.2646058577
581	0.2644899278
582	0.2641923448
583	0.2640085905
584	0.2638908505
585	0.2636501482
586	0.2634887331
587	0.263333968
588	0.2632873377
589	0.2629881771
590	0.262821015
591	0.2627392994
592	0.2626184056
593	0.2624170384
594	0.2622138289
595	0.2620778244
596	0.2619665481
597	0.2617603365
598	0.26161853
599	0.2615337777
600	0.261392661
601	0.2612523681
602	0.261070871
603	0.2607596167
604	0.2606284697
605	0.2605470489
606	0.2603817723
607	0.2601801917
608	0.259894598
609	0.2596725969
610	0.2595375693
611	0.2593400837
612	0.2592144302
613	0.2590574706
614	0.258724513
615	0.2586658635
616	0.2585647923
617	0.2583353197
618	0.2580848126
619	0.2579971708
620	0.2578948523
621	0.2577903041
622	0.2576823935
623	0.257568461
624	0.2573773745
625	0.2572643906
626	0.2572266758
627	0.2570631211
628	0.2568961544
629	0.2568339838
630	0.2566964437
631	0.2565341014
632	0.2563246687
633	0.2562461709
634	0.2560932719
635	0.2559211064
636	0.2557100202
637	0.2554806085
638	0.2553065994
639	0.2551936348
640	0.2550602048
641	0.2549270097
642	0.2548250055
643	0.2546407178
644	0.2544842435
645	0.2543193234
646	0.2542307626
647	0.2539320434
648	0.2538014235
649	0.2535586062
650	0.2534278041
651	0.2532534575
652	0.2530746311
653	0.252948181
654	0.2528790131
655	0.2526156953
656	0.2524828594
657	0.2522117546
658	0.2520622604
659	0.251889495
660	0.2517348924
661	0.2516445802
662	0.2515434765
663	0.2514643027
664	0.2513082538
665	0.2511573465
666	0.2510567049
667	0.2508649697
668	0.2507097459
669	0.2505054965
670	0.2503679932
671	0.2501905472
672	0.2500284383
673	0.2498773818
674	0.2497125555
675	0.2495087836
676	0.2494103954
677	0.2493076522
678	0.2492016158
679	0.2491595331
680	0.248981835
681	0.248882129
682	0.2487364792
683	0.2484894292
684	0.2483414759
685	0.2482422826
686	0.2481240438
687	0.2478193261
688	0.2475973619
689	0.247436402
690	0.2472889847
691	0.2471520029
692	0.2469080593
693	0.2468132469
694	0.2467172302
695	0.2465804506
696	0.2464231588
697	0.2461552242
698	0.2459889503
699	0.2458542045
700	0.2457257742
701	0.2455670396
702	0.2454399379
703	0.245320681
704	0.2451681045
705	0.245068492
706	0.2448482639
707	0.2446383169
708	0.2445297589
709	0.2444534031
710	0.2443203453
711	0.2441101951
712	0.2439577681
713	0.2437963736
714	0.2437242251
715	0.2435768344
716	0.2434743002
717	0.2433841357
718	0.2432571633
719	0.2429855113
720	0.2428265834
721	0.242727026
722	0.2426205467
723	0.2424322526
724	0.2421721287
725	0.2420868884
726	0.24195307
727	0.2418544427
728	0.2417136364
729	0.2415595986
730	0.2414542177
731	0.2412497545
732	0.2410518773
733	0.2408452331
734	0.2405961365
735	0.2404592305
736	0.2403259353
737	0.2401772822
738	0.2399369227
739	0.2398734257
740	0.2397323212
741	0.2394655347
742	0.2392959672
743	0.2391277457
744	0.2389753854
745	0.2388444322
746	0.2386360162
747	0.2384989153
748	0.2383536329
749	0.2382486735
750	0.2380245065
751	0.2378597639
752	0.2376882082
753	0.2375688645
754	0.2374664005
755	0.2372808025
756	0.2371917129
757	0.2370503011
758	0.2368948645
759	0.2367277816
760	0.23653115
761	0.2364043425
762	0.2361269368
763	0.2359786165
764	0.2358080728
765	0.2356618792
766	0.2355460811
767	0.23544046
768	0.235321654
769	0.2351484422
770	0.2350229582
771	0.2348784381
772	0.234783414
773	0.2346726297
774	0.2345340872
775	0.2343566677
776	0.2341864568
777	0.2340644498
778	0.2339830046
779	0.2339015872
780	0.2338225903
781	0.2337309464
782	0.2335005025
783	0.2333364484
784	0.2332151469
785	0.2330675285
786	0.2329010177
787	0.2327659819
788	0.2326261239
789	0.2325148705
790	0.2322670884
791	0.2321076611
792	0.2320365831
793	0.2319629377
794	0.2317446545
795	0.2316338744
796	0.2314975384
797	0.2314213828
798	0.2313191693
799	0.2311998007
800	0.2310702701
801	0.2309835436
802	0.2308208253
803	0.2306733745
804	0.2305194862
805	0.2303649725
806	0.2301742999
807	0.2300813061
808	0.2299725181
809	0.2297433732
810	0.2296371669
811	0.2294954469
812	0.2293435449
813	0.2292501499
814	0.2291028475
815	0.2290185698
816	0.228969586
817	0.2288012951
818	0.2286826443
819	0.2286156104
820	0.2285189608
821	0.2284008227
822	0.2281883729
823	0.2280268709
824	0.2279221227
825	0.2277505309
826	0.2276558501
827	0.2275581367
828	0.2274915516
829	0.227349129
830	0.2272191724
831	0.2271341535
832	0.2269384177
833	0.2268059512
834	0.2266937762
835	0.2265908587
836	0.2264274489
837	0.2263453121
838	0.2262214918
839	0.2261101504
840	0.2259893295
841	0.2258596092
842	0.2257667402
843	0.225601284
844	0.2255103363
845	0.2254095302
846	0.2252464808
847	0.2251764551
848	0.2251316052
849	0.2250279844
850	0.2248635843
851	0.2247834541
852	0.2247088646
853	0.2245473947
854	0.2244459742
855	0.2243887622
856	0.2242601083
857	0.2241095599
858	0.2239666477
859	0.2239265918
860	0.2237909625
861	0.2236835828
862	0.2236321144
863	0.2235228421
864	0.2234422505
865	0.2232839484
866	0.2231226356
867	0.2229655095
868	0.2228706738
869	0.2227599508
870	0.222631285
871	0.2225354873
872	0.2223460356
873	0.2222078154
874	0.2220723724
875	0.2219390994
876	0.2217929036
877	0.2216627115
878	0.2215638075
879	0.2214491108
880	0.2213110831
881	0.221222175
882	0.2210654006
883	0.2209390811
884	0.2208042105
885	0.2207351199
886	0.2205131663
887	0.2202602527
888	0.2201994005
889	0.2200476844
890	0.2199013036
891	0.2196841462
892	0.2195117476
893	0.2194411957
894	0.2193603634
895	0.2192501791
896	0.2191738945
897	0.2190369297
898	0.2189465888
899	0.2188467476
900	0.2187623802
901	0.2186508783
902	0.2185700964
903	0.2184797674
904	0.2183679673
905	0.2182285657
906	0.2181147711
907	0.218021897
908	0.2179366081
909	0.2178239624
910	0.2177176443
911	0.2176188489
912	0.2175116905
913	0.217349823
914	0.2172671434
915	0.2171856575
916	0.2171048877
917	0.2170021311
918	0.2168994448
919	0.2167406404
920	0.2166325347
921	0.21651745
922	0.2163712594
923	0.2162434188
924	0.2161585092
925	0.2160636656
926	0.2159164954
927	0.215828386
928	0.2157224865
929	0.2156247514
930	0.2154689877
931	0.2153441894
932	0.2152818418
933	0.2151354806
934	0.2150017491
935	0.214929557
936	0.2147991071
937	0.2146703305
938	0.2145648519
