iter	RMSE
0	0.9771133496
1	0.9106700268
2	0.8574783842
3	0.810081836
4	0.7719675844
5	0.7404008493
6	0.7108413478
7	0.6908038326
8	0.6724322688
9	0.657565496
10	0.6356136257
11	0.6251800182
12	0.6115342565
13	0.5984921781
14	0.5888218537
15	0.5792612061
16	0.5736793747
17	0.566488662
18	0.5613938778
19	0.5541487227
20	0.5491849223
21	0.5448758642
22	0.5415649873
23	0.5375563044
24	0.535074408
25	0.5298766285
26	0.5261829738
27	0.5206383837
28	0.5170499742
29	0.515091199
30	0.5135275038
31	0.5116634952
32	0.5092771544
33	0.5071475677
34	0.5056640299
35	0.5044141156
36	0.5026246089
37	0.5006257049
38	0.4987310976
39	0.497350871
40	0.4961707291
41	0.4941546725
42	0.4932638594
43	0.4915666192
44	0.4903148619
45	0.4895409304
46	0.4875821765
47	0.486138188
48	0.4837661227
49	0.4823690626
50	0.4812715522
51	0.4789564473
52	0.4773940288
53	0.4765370671
54	0.4756351715
55	0.473894269
56	0.4728882858
57	0.4712548304
58	0.469902361
59	0.4687634123
60	0.4672483377
61	0.4659141256
62	0.4646788441
63	0.4632662171
64	0.4622513137
65	0.4609141417
66	0.4599234138
67	0.4588186822
68	0.4580065954
69	0.4567410366
70	0.4553766007
71	0.4527968576
72	0.4519975346
73	0.450752875
74	0.4497843959
75	0.4487036336
76	0.4476207275
77	0.4465003825
78	0.4453162354
79	0.4442014868
80	0.4433404326
81	0.4425531063
82	0.4416151083
83	0.4408694619
84	0.4397738182
85	0.4388049049
86	0.43798818
87	0.4359887211
88	0.4348412401
89	0.4339935733
90	0.4330982331
91	0.4322761704
92	0.4309859489
93	0.4300286649
94	0.4294169473
95	0.4276061051
96	0.4265950651
97	0.4260471649
98	0.4252504719
99	0.4245728294
100	0.4239085432
101	0.4235358015
102	0.4226531155
103	0.4217818697
104	0.4207432293
105	0.4201581269
106	0.4193801465
107	0.4183512966
108	0.4178079166
109	0.4164883862
110	0.4156428615
111	0.4148368412
112	0.4142063381
113	0.4134023062
114	0.4128875246
115	0.4118314899
116	0.4113298318
117	0.410117022
118	0.4094174522
119	0.4090622146
120	0.4081759245
121	0.4071280983
122	0.4065652237
123	0.4060502593
124	0.4052889714
125	0.404738695
126	0.4040347539
127	0.4035177322
128	0.4029974206
129	0.4022287101
130	0.4016367698
131	0.4009439698
132	0.4003499967
133	0.3992895792
134	0.3986325611
135	0.3977851771
136	0.397028574
137	0.3964817551
138	0.3958270052
139	0.3952354246
140	0.3944586742
141	0.3937885877
142	0.3932087954
143	0.3926348191
144	0.3920072108
145	0.3914598825
146	0.3901650472
147	0.3896791283
148	0.3891490949
149	0.3885795667
150	0.3880238288
151	0.3874990171
152	0.3869223175
153	0.3865448858
154	0.3861155557
155	0.3855871864
156	0.3852325559
157	0.384620556
158	0.3839970332
159	0.3835233886
160	0.3829577221
161	0.3823957407
162	0.3821385549
163	0.3812900108
164	0.3803755694
165	0.3799603475
166	0.3793425148
